Train Dataset,Anomaly Dataset,Inference time,tn,fp,fn,tp,Precision,Recall,F1-Score,Threshold
gesture_recognition.csv,hand_landmarking_rpi.csv,0.04356074333190918,1,0,0,1,1.0,1.0,1.0,0.4902792218359797
gesture_recognition.csv,idle1.csv,0.0455775260925293,1,0,0,1,1.0,1.0,1.0,0.43019690692598195
gesture_recognition.csv,idle2.csv,0.04499483108520508,1,0,0,1,1.0,1.0,1.0,0.41833002677544506
gesture_recognition.csv,object_detection.csv,0.04586434364318848,1,0,0,1,1.0,1.0,1.0,0.3901232647239095
gesture_recognition.csv,object_detection_rpi.csv,0.047571659088134766,1,0,0,1,1.0,1.0,1.0,0.41048835987718457
gesture_recognition.csv,pose_landmarking.csv,0.04629683494567871,1,0,0,1,1.0,1.0,1.0,0.39343548227804725
gesture_recognition.csv,pose_landmarking_rpi.csv,0.046161651611328125,1,0,0,1,1.0,1.0,1.0,0.42084581842326835
gesture_recognition_rpi.csv,audio_classification.csv,0.047068119049072266,1,0,0,1,1.0,1.0,1.0,0.44170894338605193
gesture_recognition_rpi.csv,audio_classification_rpi.csv,0.04449152946472168,1,0,0,1,1.0,1.0,1.0,0.4837754444779515
gesture_recognition_rpi.csv,face_detection.csv,0.045600175857543945,1,0,0,1,1.0,1.0,1.0,0.45953975441488376
gesture_recognition_rpi.csv,face_detection_rpi.csv,0.04583597183227539,1,0,0,1,1.0,1.0,1.0,0.5085264803113563
gesture_recognition_rpi.csv,face_landmarking.csv,0.045305490493774414,1,0,0,1,1.0,1.0,1.0,0.3973872439619305
gesture_recognition_rpi.csv,face_landmarking_rpi.csv,0.044562578201293945,1,0,0,1,1.0,1.0,1.0,0.4012924015289829
gesture_recognition_rpi.csv,gesture_recognition.csv,0.04412031173706055,1,0,0,1,1.0,1.0,1.0,0.4112783807097335
gesture_recognition_rpi.csv,hand_landmarking.csv,0.046042680740356445,1,0,0,1,1.0,1.0,1.0,0.4642772287081924
gesture_recognition_rpi.csv,hand_landmarking_rpi.csv,0.04657745361328125,1,0,0,1,1.0,1.0,1.0,0.4523661672375203
gesture_recognition_rpi.csv,idle1.csv,0.04696202278137207,1,0,0,1,1.0,1.0,1.0,0.6339513557251196
gesture_recognition_rpi.csv,idle2.csv,0.04390597343444824,1,0,0,1,1.0,1.0,1.0,0.4825539197732899
gesture_recognition_rpi.csv,object_detection.csv,0.04514884948730469,1,0,0,1,1.0,1.0,1.0,0.41430745933599544
gesture_recognition_rpi.csv,object_detection_rpi.csv,0.04390573501586914,1,0,0,1,1.0,1.0,1.0,0.41055928010568277
gesture_recognition_rpi.csv,pose_landmarking.csv,0.04605722427368164,1,0,0,1,1.0,1.0,1.0,0.5391630613658772
gesture_recognition_rpi.csv,pose_landmarking_rpi.csv,0.045563697814941406,1,0,0,1,1.0,1.0,1.0,0.4656787129757921
hand_landmarking.csv,audio_classification.csv,0.045557260513305664,1,0,0,1,1.0,1.0,1.0,0.38310677756850486
hand_landmarking.csv,audio_classification_rpi.csv,0.04656386375427246,1,0,0,1,1.0,1.0,1.0,0.46029859957143965
hand_landmarking.csv,face_detection.csv,0.04460883140563965,1,0,0,1,1.0,1.0,1.0,0.409604354769582
hand_landmarking.csv,face_detection_rpi.csv,0.04662179946899414,1,0,0,1,1.0,1.0,1.0,0.3670898161641596
hand_landmarking.csv,face_landmarking.csv,0.05342245101928711,1,0,0,1,1.0,1.0,1.0,0.4438640201215483
hand_landmarking.csv,face_landmarking_rpi.csv,0.05168342590332031,1,0,0,1,1.0,1.0,1.0,0.3994141366820966
hand_landmarking.csv,gesture_recognition.csv,0.04604625701904297,1,0,0,1,1.0,1.0,1.0,0.47932488141131857
hand_landmarking.csv,gesture_recognition_rpi.csv,0.04649543762207031,1,0,0,1,1.0,1.0,1.0,0.3764010568088286
hand_landmarking.csv,hand_landmarking_rpi.csv,0.04800748825073242,1,0,0,1,1.0,1.0,1.0,0.38601713244149294
hand_landmarking.csv,idle1.csv,0.04903817176818848,1,0,0,1,1.0,1.0,1.0,0.36723918547186063
hand_landmarking.csv,idle2.csv,0.04561018943786621,1,0,0,1,1.0,1.0,1.0,0.6086500255494343
hand_landmarking.csv,object_detection.csv,0.04555034637451172,1,0,0,1,1.0,1.0,1.0,0.38173342158018114
hand_landmarking.csv,object_detection_rpi.csv,0.04505276679992676,1,0,0,1,1.0,1.0,1.0,0.4884673206409713
hand_landmarking.csv,pose_landmarking.csv,0.04831695556640625,1,0,0,1,1.0,1.0,1.0,0.38135446323882866
hand_landmarking.csv,pose_landmarking_rpi.csv,0.04556536674499512,1,0,0,1,1.0,1.0,1.0,0.4942747531677952
hand_landmarking_rpi.csv,audio_classification.csv,0.04592609405517578,1,0,0,1,1.0,1.0,1.0,0.4517777078336238
hand_landmarking_rpi.csv,audio_classification_rpi.csv,0.045945167541503906,1,0,0,1,1.0,1.0,1.0,0.4887973860322338
