hand_landmarking_rpi_mem.committed_Committed_AS,hand_landmarking_rpi_system.active_processes_active,hand_landmarking_rpi_system.cpu_user,hand_landmarking_rpi_system.file_nr_used_used,hand_landmarking_rpi_system.processes_running,hand_landmarking_rpi_system.ram_buffers,hand_landmarking_rpi_system.ram_cached,hand_landmarking_rpi_system.ram_free,hand_landmarking_rpi_system.ram_used,Target
3204.262,423,70.30457,4352,15,1.21875,108.29688,299.0977,498.5156,3
3204.262,423,68.68687,4352,11,1.21875,108.29688,298.5625,499.0508,3
3204.262,423,71.61125,4352,12,1.21875,108.29688,299.0352,498.5781,3
3204.262,423,72.79597,4352,13,1.21875,108.29688,298.8906,498.7227,3
3204.262,423,72.2365,4352,14,1.21875,108.29688,295.6523,501.9609,3
3204.262,424,69.44444,4352,11,1.21875,108.29688,300.0586,497.5547,3
3204.262,424,75.25,4352,11,1.21875,108.29688,295.9414,501.6719,3
3204.262,424,71.93878,4352,6,1.21875,108.3125,300.7305,496.8672,3
3204.262,424,71.3198,4352,14,1.21875,108.3125,294.7227,502.875,3
3204.262,424,72.26463,4352,14,1.21875,108.3125,292.5156,505.082,3
3204.262,424,71.53652,4352,10,1.21875,108.3125,299.9375,497.6602,3
3204.262,424,72.08122,4352,14,1.21875,108.3125,300.9336,496.6641,3
3204.262,424,73.35025,4352,20,1.21875,108.3125,298.2539,499.3438,3
3204.262,424,72.08122,4352,9,1.21875,108.3125,297.3555,500.2422,3
3204.262,424,68.18182,4352,10,1.21875,108.3125,299.2852,498.3125,3
3204.262,424,67.08861,4352,10,1.21875,108.3125,301.0859,496.5117,3
3204.262,424,65.0,4352,15,1.21875,108.3125,300.6523,496.9453,3
3204.262,424,61.59601,4352,9,1.21875,108.3125,305.5039,492.0938,3
3204.262,424,60.4534,4352,7,1.21875,108.3125,302.9336,494.6641,3
3204.262,424,66.07595,4352,11,1.21875,108.3125,306.0273,491.5703,3
3204.262,424,71.20823,4352,10,1.21875,108.39453,305.582,491.9336,3
3204.262,424,71.68367,4352,9,1.21875,108.39453,301.7266,495.7891,3
3204.262,424,72.1519,4320,8,1.21875,108.39453,304.6602,492.8555,3
3204.262,424,68.60759,4320,12,1.21875,108.39453,300.2031,497.3125,3
3204.262,424,69.84536,4320,12,1.21875,108.39453,301.1602,496.3555,3
3204.262,424,72.12276,4320,13,1.21875,108.39453,301.9062,495.6094,3
3204.262,424,69.40874,4320,15,1.21875,108.37891,308.2852,489.2461,3
3204.262,424,72.91139,4320,16,1.21875,108.37891,304.4883,493.043,3
3204.262,424,74.55471,4320,17,1.21875,108.37891,309.3711,488.1602,3
3204.262,424,72.0403,4352,12,1.21875,108.37891,302.8359,494.6953,3
3204.262,424,71.4653,4352,7,1.21875,108.37891,304.9258,492.6055,3
3204.262,424,73.21429,4352,10,1.21875,108.39453,299.3555,498.1602,3
3204.262,424,74.1206,4352,9,1.21875,108.39453,303.1914,494.3242,3
3204.262,424,74.17722,4352,8,1.21875,108.39453,298.543,498.9727,3
3204.262,424,70.25641,4352,10,1.21875,108.39453,308.0078,489.5078,3
3204.262,424,71.42857,4352,13,1.21875,108.39453,303.5664,493.9492,3
3204.262,424,67.59494,4352,13,1.21875,108.39453,312.0391,485.4766,3
3204.262,424,74.1688,4384,9,1.21875,108.39453,305.5898,491.9258,3
3204.262,424,70.55838,4384,15,1.21875,108.39453,306.1445,491.3711,3
3204.262,424,71.46465,4384,8,1.21875,108.39453,302.5703,494.9453,3
3204.262,424,70.22901,4384,9,1.21875,108.39453,299.7578,497.7578,3
3204.262,424,72.36181,4384,15,1.21875,108.39453,307.3203,490.1953,3
3204.262,424,70.88608,4384,9,1.21875,108.39453,302.7266,494.7891,3
3204.262,424,68.10127,4384,13,1.21875,108.39453,310.2148,487.3008,3
3204.262,424,70.02519,4384,13,1.21875,108.39453,309.2734,488.2422,3
3204.766,424,66.25,4384,14,1.21875,108.51562,306.3359,491.0586,3
3204.766,424,63.97985,4352,9,1.2265625,108.71094,306.1133,491.0859,3
3204.766,424,64.35644,4352,10,1.2265625,108.73047,306.1328,491.0391,3
3204.262,423,58.33333,4352,12,1.2265625,108.73047,305.4688,491.7031,3
3204.262,423,65.57789,4352,12,1.2265625,108.73047,306.3281,490.8438,3
3204.262,423,70.02519,4352,14,1.2265625,108.73047,307.4883,489.6836,3
3204.262,423,70.76923,4352,12,1.2265625,108.73047,301.6953,495.4766,3
3204.262,423,72.1519,4352,12,1.2265625,108.73047,307.7969,489.375,3
3204.262,423,70.81218,4352,10,1.2265625,108.73047,305.7188,491.4531,3
3204.262,423,73.46939,4352,7,1.2265625,108.73047,306.8438,490.3281,3
