face_detection_rpi_mem.committed_Committed_AS,face_detection_rpi_system.active_processes_active,face_detection_rpi_system.cpu_user,face_detection_rpi_system.file_nr_used_used,face_detection_rpi_system.processes_running,face_detection_rpi_system.ram_buffers,face_detection_rpi_system.ram_cached,face_detection_rpi_system.ram_free,face_detection_rpi_system.ram_used,Target
3084.668,423,57.21519,4320,13,2.21875,320.0781,89.125,495.707,6
3083.789,423,53.61596,4320,10,2.21875,320.0781,83.71484,501.1172,6
3083.789,423,56.77749,4320,14,2.21875,320.0781,90.27734,494.5547,6
3083.789,423,65.38462,4320,14,2.21875,320.0781,89.89844,494.9336,6
3083.789,423,64.50777,4320,11,2.21875,320.0781,87.89453,496.9375,6
3082.91,423,67.34694,4320,8,2.226562,320.0703,87.37891,497.4531,6
3083.789,423,66.58098,4320,13,2.226562,320.0781,87.91016,496.9141,6
3083.789,423,67.09184,4320,13,2.226562,320.0781,88.60156,496.2227,6
3084.668,423,68.8946,4320,11,2.226562,320.0781,85.42969,499.3945,6
3084.668,423,64.26735,4320,11,2.226562,320.0781,86.86719,497.957,6
3083.789,423,67.17949,4320,6,2.226562,320.0781,84.69922,500.125,6
3083.789,423,64.52442,4320,6,2.226562,320.0781,87.53906,497.2852,6
3082.91,423,67.77494,4352,15,2.226562,320.0781,87.11719,497.707,6
3082.031,423,67.26343,4352,10,2.226562,320.0781,86.67969,498.1445,6
3084.727,423,67.4359,4352,18,2.226562,320.0781,86.57812,498.2461,6
3083.848,423,65.64885,4352,9,2.226562,320.0781,86.83203,497.9922,6
3084.727,423,65.97938,4352,10,2.226562,320.0781,87.79297,497.0312,6
3082.09,423,67.25888,4352,13,2.226562,320.0781,84.44141,500.3828,6
3083.848,423,66.07595,4352,13,2.226562,320.0781,87.06641,497.7578,6
3082.969,423,69.58763,4352,12,2.226562,320.0781,85.10938,499.7148,6
3083.789,423,65.98465,4352,14,2.226562,320.0781,87.36328,497.4609,6
3083.789,423,66.49746,4352,8,2.230469,320.0742,86.87109,497.9531,6
3083.848,423,66.58228,4352,12,2.230469,320.0781,84.18359,500.6367,6
3082.969,424,65.90909,4352,13,2.230469,320.0781,88.39844,496.4219,6
3082.91,424,69.03553,4352,4,2.230469,320.0781,83.54688,501.2734,6
3084.684,424,66.08479,4352,10,2.230469,320.0781,86.58984,498.2305,6
3083.789,424,67.67677,4352,13,2.230469,320.0781,87.01562,497.8047,6
3082.969,424,65.91479,4320,10,2.230469,320.0781,83.64453,501.1758,6
3083.848,424,64.37659,4320,11,2.230469,320.0781,83.15234,501.668,6
3083.848,424,63.13131,4320,9,2.230469,320.0781,86.09766,498.7227,6
3083.789,424,60.5985,4320,9,2.230469,320.0781,87.07031,497.75,6
3083.789,424,54.0,4320,7,2.230469,320.0781,90.28125,494.5391,6
3083.789,424,53.86534,4320,16,2.230469,320.0781,84.59375,500.2266,6
3083.848,424,60.86957,4320,8,2.230469,320.0781,84.81641,500.0039,6
3083.848,424,67.35219,4320,10,2.230469,320.0781,83.76172,501.0586,6
3082.969,424,66.83938,4320,8,2.230469,320.0781,87.47656,497.3438,6
