audio_classification_rpi_mem.committed_Committed_AS,audio_classification_rpi_system.active_processes_active,audio_classification_rpi_system.cpu_user,audio_classification_rpi_system.file_nr_used_used,audio_classification_rpi_system.processes_running,audio_classification_rpi_system.ram_buffers,audio_classification_rpi_system.ram_cached,audio_classification_rpi_system.ram_free,audio_classification_rpi_system.ram_used,Target
3177.258,434,10.353535,4576,3,2.046875,249.2812,143.71875,512.082,5
3177.258,434,10.301508,4576,2,2.046875,249.2812,143.71875,512.082,5
3177.258,434,9.793814,4608,2,2.046875,249.2812,143.47266,512.3281,5
3177.258,434,10.025707,4608,2,2.046875,249.2812,143.47266,512.3281,5
3177.258,434,12.661499,4608,2,2.046875,249.2812,143.47266,512.3281,5
3177.258,434,13.14433,4608,2,2.046875,249.2812,143.66797,512.1328,5
3177.258,434,11.111111,4608,2,2.046875,249.2812,143.71875,512.082,5
3177.258,434,11.139241,4608,4,2.046875,249.2812,143.71875,512.082,5
3177.258,434,12.718204,4608,2,2.046875,249.2812,143.96484,511.8359,5
3177.258,434,11.111111,4608,2,2.046875,249.2812,143.96484,511.8359,5
3177.258,434,10.824742,4608,2,2.046875,249.2812,143.96484,511.8359,5
3177.258,434,10.077519,4608,2,2.046875,249.2812,143.96484,511.8359,5
3177.258,434,9.74359,4608,2,2.054688,249.2812,144.21094,511.582,5
3177.258,434,10.632911,4576,3,2.054688,249.2812,144.21094,511.582,5
3177.258,434,8.883249,4576,4,2.054688,249.2812,143.96484,511.8281,5
3177.258,434,11.167513,4576,2,2.054688,249.2812,144.21094,511.582,5
3177.258,434,10.421836,4576,2,2.054688,249.2812,144.21094,511.582,5
3177.258,434,15.482234,4576,2,2.054688,249.3594,143.96484,511.75,5
3177.258,434,9.536082,4576,2,2.054688,249.3594,143.96484,511.75,5
3177.258,434,9.067358,4576,3,2.054688,249.3594,143.96484,511.75,5
3177.258,434,9.487179,4576,2,2.054688,249.3594,143.96484,511.75,5
3177.258,434,14.177215,4576,2,2.054688,249.3594,143.71875,511.9961,5
3177.258,434,10.579345,4576,2,2.054688,249.3594,143.71875,511.9961,5
3177.258,434,10.301508,4576,2,2.054688,249.3594,143.47266,512.2422,5
3177.258,434,8.762887,4576,2,2.054688,249.3594,143.47266,512.2422,5
3177.258,433,9.067358,4576,2,2.054688,249.3594,143.47266,512.2422,5
3177.258,433,12.694301,4576,2,2.054688,249.3594,143.47266,512.2422,5
3177.258,433,8.951407,4576,2,2.054688,249.3594,143.22656,512.4883,5
3177.258,433,9.974425,4576,4,2.054688,249.3594,142.98047,512.7344,5
3177.258,433,11.0,4576,2,2.054688,249.3594,142.98047,512.7344,5
3177.258,433,12.16545,4576,2,2.054688,249.3594,142.98047,512.7344,5
3177.258,433,12.285012,4576,2,2.054688,249.3594,142.98047,512.7344,5
3177.258,433,11.369509,4576,2,2.054688,249.3594,142.98047,512.7344,5
3177.258,433,10.230179,4576,2,2.054688,249.3594,142.98047,512.7344,5
3177.258,433,9.043928,4576,2,2.054688,249.3594,142.98047,512.7344,5
3177.258,433,10.485934,4576,2,2.054688,249.3594,142.98047,512.7344,5
3177.258,433,12.5,4576,2,2.054688,249.3594,142.98047,512.7344,5
3177.258,433,13.065327,4576,2,2.054688,249.3594,142.98047,512.7344,5
3177.258,433,11.764706,4576,2,2.054688,249.3594,142.98047,512.7344,5
3177.258,433,11.662531,4576,2,2.0625,249.4609,142.98047,512.625,5
3177.258,433,9.819121,4576,2,2.0625,249.4609,142.98047,512.625,5
3177.258,433,10.25641,4576,2,2.0625,249.4609,142.98047,512.625,5
3177.258,433,11.340206,4576,2,2.0625,249.4609,142.76172,512.8438,5
3177.258,433,10.10101,4576,3,2.0625,249.4609,142.76172,512.8438,5
3177.258,433,10.204082,4576,2,2.070312,249.4609,142.76172,512.8359,5
