pose_landmarking_rpi_mem.committed_Committed_AS,pose_landmarking_rpi_system.active_processes_active,pose_landmarking_rpi_system.cpu_user,pose_landmarking_rpi_system.file_nr_used_used,pose_landmarking_rpi_system.processes_running,pose_landmarking_rpi_system.ram_buffers,pose_landmarking_rpi_system.ram_cached,pose_landmarking_rpi_system.ram_free,pose_landmarking_rpi_system.ram_used,Target
3239.504,420,70.9596,4352,12,1.3671875,138.01172,165.60938,602.1406,10
3239.504,420,67.42424,4352,13,1.3671875,138.01172,161.65234,606.0977,10
3239.504,420,64.57286,4352,16,1.3671875,138.01172,172.1406,595.6094,10
3239.504,420,62.34414,4352,12,1.3671875,138.01172,168.2305,599.5195,10
3239.504,420,72.08122,4320,12,1.3671875,138.01172,164.15625,603.5938,10
3239.504,419,69.38776,4320,12,1.3671875,138.01172,166.32422,601.4258,10
3239.504,419,71.64557,4320,17,1.3671875,138.01172,162.125,605.625,10
3239.504,419,71.79487,4320,7,1.3671875,138.01172,164.89453,602.8555,10
3239.504,419,69.59799,4320,12,1.375,138.01172,160.78516,606.957,10
3239.504,419,74.29306,4320,12,1.375,137.91406,172.1211,595.7188,10
3239.504,419,69.59799,4320,14,1.375,138.01172,167.28125,600.4609,10
3239.504,419,69.36709,4320,8,1.375,138.01172,167.15625,600.5859,10
3239.52,419,70.55838,4320,16,1.375,138.01172,162.625,605.1172,10
3239.52,419,70.87629,4320,7,1.375,138.01172,170.207,597.5352,10
3239.523,419,70.27708,4320,17,1.375,138.01172,162.55078,605.1914,10
3239.523,420,69.44444,4352,16,1.375,138.01172,160.77344,606.9688,10
3239.523,420,65.31646,4352,12,1.375,138.01172,166.40234,601.3398,10
3239.523,420,63.34165,4352,10,1.375,138.01172,166.125,601.6172,10
3239.523,420,61.23457,4352,11,1.375,138.01172,164.02344,603.7188,10
3239.523,420,63.22418,4352,8,1.375,138.01172,160.69141,607.0508,10
3239.523,420,69.19192,4352,11,1.375,138.01172,164.75,602.9922,10
3239.523,420,70.15306,4352,11,1.375,138.01172,165.64844,602.0938,10
3239.523,420,73.79135,4352,11,1.375,138.01172,165.37109,602.3711,10
3240.039,420,74.68354,4352,8,1.375,138.01172,161.24219,606.5,10
3240.039,420,70.99237,4352,10,1.375,138.01172,165.51562,602.2266,10
3240.039,420,71.24682,4352,12,1.375,138.01172,166.99609,600.7461,10
3240.023,420,68.11224,4352,9,1.3828125,138.01172,163.76953,603.9648,10
3240.023,420,69.44444,4352,10,1.3828125,138.01172,159.70703,608.0273,10
3240.023,420,71.75573,4352,13,1.3828125,138.01172,166.29688,601.4375,10
3240.023,420,69.82097,4352,10,1.3828125,138.01172,167.9062,599.8281,10
3240.023,420,70.02519,4352,13,1.3828125,138.01172,164.84375,602.8906,10
3240.023,420,71.4653,4352,11,1.3828125,138.16016,166.09766,601.4883,10
3240.023,420,72.95918,4352,10,1.3828125,138.19531,166.57031,600.9805,10
3240.023,420,73.18296,4352,11,1.3828125,138.19531,162.74219,604.8086,10
3240.023,420,73.92405,4352,8,1.3828125,138.19531,159.41797,608.1328,10
3240.871,423,74.11168,4352,12,1.3828125,138.19531,164.41797,603.1328,10
3240.023,420,69.28934,4352,15,1.3828125,138.19531,166.07031,601.4805,10
3240.023,420,69.97455,4352,10,1.3828125,138.19531,161.10547,606.4453,10
3240.023,420,68.27411,4384,11,1.3828125,138.19531,166.77734,600.7734,10
3240.039,420,71.89873,4384,10,1.3828125,138.19531,162.12891,605.4219,10
3240.039,420,70.63291,4384,10,1.3828125,138.19531,167.9336,599.6172,10
3240.039,420,70.81218,4384,8,1.3828125,138.19531,163.48047,604.0703,10
3240.039,420,70.45455,4384,12,1.3828125,138.19531,161.73047,605.8203,10
3240.039,420,71.78841,4384,14,1.3828125,138.19531,162.67969,604.8711,10
3240.039,420,67.8481,4384,8,1.3828125,138.19531,163.70312,603.8477,10
3240.039,420,66.08479,4384,11,1.3828125,138.19531,164.63281,602.918,10
3240.039,420,67.25441000000001,4384,12,1.3867188,138.19141,165.1875,602.3633,10
