gesture_recognition_rpi_mem.committed_Committed_AS,gesture_recognition_rpi_system.active_processes_active,gesture_recognition_rpi_system.cpu_user,gesture_recognition_rpi_system.file_nr_used_used,gesture_recognition_rpi_system.processes_running,gesture_recognition_rpi_system.ram_buffers,gesture_recognition_rpi_system.ram_cached,gesture_recognition_rpi_system.ram_free,gesture_recognition_rpi_system.ram_used,Target
3241.605,427,64.75,4480,5,9.90625,223.8906,170.5742,502.7578,3
3241.605,428,62.59352,4480,11,9.914062,223.8906,169.6445,503.6875,3
3241.605,428,60.09852,4480,14,9.914062,223.8828,173.3711,499.9609,3
3241.605,428,55.06173,4480,9,9.914062,223.8906,171.0625,502.2617,3
3241.605,428,56.82382,4480,15,9.914062,223.8906,170.6797,502.6445,3
3241.605,428,56.42317,4480,12,9.914062,223.8906,169.832,503.4922,3
3241.605,428,70.55838,4480,8,9.914062,223.8906,167.7969,505.5273,3
3241.605,428,65.37468,4480,12,9.914062,223.8906,167.14062,506.1836,3
3241.605,428,65.64103,4480,13,9.914062,223.9727,168.8516,504.3906,3
3241.605,428,67.18346,4480,14,9.914062,223.9727,171.8125,501.4297,3
3241.605,428,70.0,4480,13,9.914062,223.9727,170.1992,503.043,3
3241.605,428,66.15385,4480,7,9.914062,223.9727,167.41406,505.8281,3
3241.605,427,68.60759,4480,10,9.921875,223.9727,172.4141,500.8281,3
3241.605,427,70.99237,4480,11,9.921875,223.9727,174.1758,499.0586,3
3241.605,427,69.89796,4480,9,9.921875,223.9727,171.1953,502.0391,3
3241.605,427,64.2487,4480,8,9.921875,223.9727,170.1016,503.1328,3
3241.605,427,66.32653,4448,9,9.921875,223.9727,168.7617,504.4727,3
3241.605,427,63.14433,4448,8,9.921875,223.9727,167.17578,506.0586,3
3241.605,427,63.95939,4448,11,9.921875,223.9727,168.2148,505.0195,3
3241.605,427,65.3944,4448,9,9.921875,223.9727,166.79688,506.4375,3
3241.605,427,70.05076,4448,13,9.921875,223.9727,177.1016,496.1328,3
3241.605,427,68.35443,4448,10,9.921875,223.9727,173.3164,499.918,3
3241.605,427,69.2112,4448,8,9.921875,223.9727,171.7031,501.5312,3
3242.68,430,66.16162,4448,9,9.921875,223.9727,171.0938,502.1406,3
3241.605,427,65.64885,4448,13,9.921875,223.9727,169.793,503.4414,3
3241.605,427,64.81013,4480,15,9.921875,223.9727,173.7852,499.4492,3
3241.605,427,63.88889,4480,6,9.921875,223.9727,173.3477,499.8867,3
3241.605,427,64.41103,4480,10,9.921875,224.0703,171.7109,501.4258,3
3241.605,427,66.66667,4480,8,9.921875,224.0977,169.5625,503.5469,3
3241.605,427,63.36634,4480,9,9.921875,224.0977,168.6875,504.4219,3
3241.605,427,61.83206,4480,11,9.921875,224.0977,167.8125,505.2969,3
3241.605,427,59.35162,4480,9,9.921875,224.0977,167.15625,505.9531,3
3241.605,427,60.20151,4480,6,9.921875,224.0977,166.28125,506.8281,3
3241.605,427,58.2716,4480,15,9.921875,224.0977,170.1602,502.9492,3
3241.605,427,51.60494,4448,14,9.921875,224.0977,170.2617,502.8477,3
3241.605,428,57.1066,4448,12,9.921875,224.0977,169.5352,503.5742,3
3241.605,428,67.00767,4448,10,9.921875,224.0977,168.7109,504.3984,3
3241.605,428,67.78351,4448,11,9.921875,224.0977,167.8359,505.2734,3
3241.605,428,66.58291,4448,11,9.921875,224.0977,168.168,504.9414,3
3241.605,428,68.63753,4448,13,9.921875,224.0977,170.9492,502.1602,3
3241.605,428,70.9596,4448,6,9.921875,224.0977,172.8398,500.2695,3
3241.605,428,66.32391,4448,10,9.921875,224.0977,171.4922,501.6172,3
3241.605,428,67.5063,4448,17,9.921875,224.0977,174.9648,498.1445,3
3241.605,428,65.37468,4448,18,9.921875,224.0977,172.8594,500.25,3
