face_landmarking_rpi_mem.committed_Committed_AS,face_landmarking_rpi_system.active_processes_active,face_landmarking_rpi_system.cpu_user,face_landmarking_rpi_system.file_nr_used_used,face_landmarking_rpi_system.processes_running,face_landmarking_rpi_system.ram_buffers,face_landmarking_rpi_system.ram_cached,face_landmarking_rpi_system.ram_free,face_landmarking_rpi_system.ram_used,Target
3230.172,420,58.97436,4352,8,2.542969,134.29688,182.043,588.2461,10
3230.172,420,59.69388,4352,7,2.542969,134.29688,180.9336,589.3555,10
3231.375,423,60.40609,4352,8,2.542969,134.29688,179.375,590.9141,10
3230.188,420,59.89848,4320,6,2.542969,134.29688,178.8086,591.4805,10
3230.172,420,57.32323,4352,6,2.542969,134.29688,176.0625,594.2266,10
3230.188,420,54.61538,4384,4,2.542969,134.29688,183.4922,586.7969,10
3230.172,420,61.73469,4384,7,2.542969,134.29688,180.9805,589.3086,10
3230.188,420,64.94845,4384,8,2.542969,134.29688,182.2227,588.0664,10
3230.172,420,64.96164,4384,14,2.542969,134.29688,180.6211,589.668,10
3230.172,420,61.38107,4384,11,2.542969,134.29688,179.2812,591.0078,10
3230.188,419,59.74026,4384,4,2.542969,134.29688,177.0117,593.2773,10
3230.172,419,58.07292,4384,6,2.542969,134.29688,180.7461,589.543,10
3230.172,419,58.09769,4384,5,2.542969,134.29688,177.875,592.4141,10
3230.188,419,65.56122,4416,8,2.542969,134.29688,175.7969,594.4922,10
3230.188,419,61.69666,4416,6,2.542969,134.29688,179.1367,591.1523,10
3230.188,420,67.17949,4416,6,2.542969,134.29688,182.4414,587.8477,10
3230.172,420,57.289,4416,6,2.550781,134.29688,180.6289,589.6523,10
3230.172,420,61.39896,4384,3,2.550781,134.29688,179.1328,591.1484,10
3230.172,420,64.94845,4384,7,2.550781,134.29688,181.6562,588.625,10
3230.172,420,61.89258,4384,6,2.550781,134.29688,179.8516,590.4297,10
3230.172,420,66.41026,4384,6,2.550781,134.29688,176.6797,593.6016,10
3230.172,420,60.05089,4384,5,2.550781,134.29688,185.4844,584.7969,10
3230.172,420,65.81633,4384,5,2.550781,134.29688,186.5078,583.7734,10
3230.172,420,61.38107,4384,6,2.550781,134.29688,184.6211,585.6602,10
3230.188,420,61.89258,4384,4,2.550781,134.29688,183.2539,587.0273,10
3230.188,420,63.33333,4384,7,2.550781,134.29688,182.3789,587.9023,10
3230.172,419,59.58549,4384,8,2.550781,134.29688,180.0977,590.1836,10
3230.172,419,68.79795,4384,11,2.550781,134.29688,178.5391,591.7422,10
3230.188,419,60.05089,4384,11,2.550781,134.29688,180.8438,589.4375,10
3230.188,419,67.34694,4384,7,2.550781,134.29688,176.9062,593.375,10
3230.172,419,57.39796,4384,4,2.550781,134.29688,184.9805,585.3008,10
3230.188,418,63.26531,4384,3,2.550781,134.29688,181.9922,588.2891,10
3230.188,418,58.48101,4352,5,2.550781,134.29688,179.6523,590.6289,10
3230.188,418,62.5641,4352,4,2.550781,134.29688,178.3125,591.9688,10
3230.172,418,57.07196,4352,6,2.550781,134.29688,177.25,593.0312,10
3230.172,418,54.96183,4352,3,2.550781,134.29688,184.3008,585.9805,10
3230.172,418,66.07143,4352,7,2.550781,134.29688,181.2383,589.043,10
3230.188,418,62.65985,4352,9,2.550781,134.29688,179.4336,590.8477,10
3230.172,418,56.63265,4352,5,2.550781,134.29688,182.5352,587.7461,10
3230.172,418,64.43299,4352,13,2.550781,134.29688,179.5117,590.7695,10
3230.188,418,61.75711,4352,7,2.550781,134.29688,178.2109,592.0703,10
3230.172,418,63.0102,4352,6,2.550781,134.29688,178.668,591.6133,10
3230.172,416,58.1864,4352,6,2.550781,134.29688,181.1094,589.1719,10
3230.172,416,68.46154,4352,8,2.550781,134.29688,182.7656,587.5156,10
3230.188,416,61.12532,4384,7,2.550781,134.29688,180.25,590.0312,10
3230.172,416,61.43959,4384,10,2.550781,134.29688,178.6914,591.5898,10
3230.188,416,65.03856,4384,11,2.550781,134.29688,180.0469,590.2344,10
3230.188,416,61.32316,4384,6,2.550781,134.29688,178.4609,591.8203,10
3230.172,416,67.78351,4384,11,2.550781,134.29688,182.4102,587.8711,10
3230.172,416,61.51899,4384,8,2.550781,134.29688,179.6797,590.6016,10
3230.172,416,64.50777,4384,3,2.550781,134.29688,186.0938,584.1875,10
3230.188,416,61.34021,4384,3,2.550781,134.29688,183.457,586.8242,10
3230.172,416,66.32124,4384,5,2.558594,134.29688,182.1172,588.1562,10
3230.188,416,68.04124,4384,7,2.558594,134.29688,180.7109,589.5625,10
3230.172,416,62.30769,4384,7,2.558594,134.29688,180.082,590.1914,10
3230.188,416,62.33766,4384,3,2.558594,134.29688,180.6914,589.582,10
3230.172,417,60.76923,4384,4,2.558594,134.29688,181.8359,588.4375,10
3230.188,417,59.84456,4384,8,2.558594,134.29688,179.8008,590.4727,10
3230.188,417,62.30769,4384,5,2.558594,134.29688,180.3789,589.8945,10
3230.172,416,62.14834,4352,7,2.558594,134.29688,181.9141,588.3594,10
3230.188,416,66.15385,4352,8,2.558594,134.29688,178.4414,591.832,10
3230.172,416,57.1066,4352,3,2.558594,134.29688,180.5938,589.6797,10
3230.172,417,58.0402,4352,5,2.558594,134.29688,180.6992,589.5742,10
3230.188,417,57.21519,4352,5,2.558594,134.29688,179.0859,591.1875,10
3230.172,417,56.4433,4352,10,2.558594,134.29688,179.8984,590.375,10
3230.188,417,55.15464,4352,3,2.566406,134.28906,178.5586,591.7148,10
3230.172,417,60.92545,4352,5,2.566406,134.29688,180.8281,589.4375,10
3230.172,417,63.75321,4352,12,2.566406,134.32812,178.543,591.6914,10
3230.172,417,61.34021,4352,7,2.566406,134.32812,176.3281,593.9062,10
3230.188,417,62.43523,4352,4,2.566406,134.32812,176.6562,593.5781,10
3230.188,417,61.57761,4352,8,2.566406,134.32812,179.1797,591.0547,10
3230.172,417,64.01028,4352,7,2.566406,134.32812,177.3516,592.8828,10
3230.172,418,62.08651,4352,9,2.566406,134.32812,176.4727,593.7617,10
3230.188,418,60.66838,4352,6,2.566406,134.32812,178.8633,591.3711,10
3230.172,418,61.79487,4352,5,2.566406,134.32812,176.1016,594.1328,10
3230.172,418,61.79487,4352,7,2.566406,134.32812,173.75,596.4844,10
3230.172,418,68.36735,4352,7,2.566406,134.32812,177.5703,592.6641,10
3230.188,418,60.66838,4352,5,2.566406,134.32812,174.8633,595.3711,10
3230.172,418,63.93862,4352,6,2.566406,134.32812,174.0234,596.2109,10
3230.172,418,62.7551,4352,11,2.566406,134.32812,180.8672,589.3672,10
3230.172,418,67.70026,4352,3,2.566406,134.32812,183.2461,586.9883,10
3230.172,418,59.68586,4352,5,2.566406,134.32812,181.2227,589.0117,10
3230.188,418,63.91753,4352,10,2.566406,134.32812,179.4297,590.8047,10
