object_detection_rpi_mem.committed_Committed_AS,object_detection_rpi_system.active_processes_active,object_detection_rpi_system.cpu_user,object_detection_rpi_system.file_nr_used_used,object_detection_rpi_system.processes_running,object_detection_rpi_system.ram_buffers,object_detection_rpi_system.ram_cached,object_detection_rpi_system.ram_free,object_detection_rpi_system.ram_used,Target
3116.031,429,62.62626,4352,7,2.316406,240.6641,164.79297,499.3555,0
3116.031,429,59.20398,4352,4,2.316406,240.6641,163.16797,500.9805,0
3116.031,429,56.0794,4352,3,2.316406,240.6641,162.0625,502.0859,0
3116.031,429,52.68293,4352,5,2.316406,240.6641,162.99609,501.1523,0
3116.031,429,48.51485,4352,4,2.316406,240.6641,165.77734,498.3711,0
3116.031,429,55.38462,4352,11,2.316406,240.6641,165.625,498.5234,0
3116.031,429,62.82723,4352,7,2.316406,240.6641,163.98828,500.1602,0
3116.031,429,61.97917,4352,5,2.316406,240.6641,162.09375,502.0547,0
3116.031,429,60.56701,4352,3,2.316406,240.6641,165.59375,498.5547,0
3116.031,429,62.6943,4352,5,2.316406,240.6641,164.6875,499.4609,0
3116.031,429,62.92428,4352,3,2.316406,240.6641,169.1641,494.9844,0
3116.031,428,60.45918,4352,10,2.316406,240.6641,167.55078,496.5977,0
3116.031,428,62.92428,4352,4,2.316406,240.6641,167.10547,497.043,0
3116.031,428,60.71429,4352,7,2.316406,240.6641,166.42188,497.7266,0
3116.031,428,60.30928,4352,13,2.316406,240.6641,164.31641,499.832,0
3116.031,428,60.46512,4352,4,2.316406,240.6641,163.66016,500.4883,0
3116.031,426,59.48718,4352,4,2.316406,240.6641,163.22266,500.9258,0
3116.031,426,62.34097,4352,3,2.316406,240.6641,165.26953,498.8789,0
3116.031,426,61.83206,4352,9,2.316406,240.6641,162.89062,501.2578,0
3116.031,426,60.91371,4352,4,2.316406,240.6641,162.28906,501.8594,0
3116.031,426,61.77215,4352,8,2.316406,240.6641,160.92578,503.2227,0
3116.031,426,60.40609,4352,3,2.316406,240.6641,159.26172,504.8867,0
3116.031,426,57.80051,4352,5,2.316406,240.6641,158.36328,505.7852,0
3116.031,426,60.35354,4352,14,2.316406,240.6641,160.78906,503.3594,0
3116.031,426,61.73469,4352,5,2.316406,240.6641,162.69531,501.4531,0
3116.031,426,63.23907,4352,11,2.324219,240.6562,161.08203,503.0664,0
3116.031,425,63.38384,4352,12,2.324219,240.6641,161.08203,503.0586,0
3116.031,425,64.2132,4352,8,2.324219,240.6641,159.44141,504.6992,0
3116.031,425,57.10723,4352,14,2.324219,240.6641,163.40625,500.7344,0
3116.031,426,64.1604,4352,13,2.324219,240.6641,167.76172,496.3789,0
3116.031,426,59.24051,4352,3,2.324219,240.6641,165.20703,498.9336,0
3116.031,426,60.5985,4352,9,2.324219,240.6797,162.89453,501.2305,0
3116.031,426,58.63747,4352,8,2.324219,240.6797,162.45703,501.668,0
3116.031,426,50.24631,4352,4,2.324219,240.6797,165.00391,499.1211,0
3116.031,426,52.32274,4352,7,2.324219,240.6797,162.89844,501.2266,0
3116.031,426,48.62155,4352,11,2.324219,240.6797,167.52344,496.6016,0
3116.031,426,60.72351,4352,11,2.324219,240.6797,170.7539,493.3711,0
3116.031,426,59.94832,4352,4,2.324219,240.6797,168.4453,495.6797,0
3116.031,426,59.22078,4352,6,2.324219,240.6797,166.36719,497.7578,0
3116.031,426,61.69666,4352,5,2.324219,240.6797,165.92969,498.1953,0
3116.031,426,63.82429,4352,4,2.324219,240.6797,165.4375,498.6875,0
3116.031,426,59.59079,4352,9,2.324219,240.6797,167.10156,497.0234,0
3116.031,426,60.36269,4352,7,2.324219,240.6797,164.80469,499.3203,0
3116.031,426,61.12532,4352,8,2.324219,240.6797,163.45312,500.6719,0
3116.031,426,61.12532,4320,9,2.324219,240.6797,162.57812,501.5469,0
3116.031,426,60.15424,4320,3,2.324219,240.6797,160.11719,504.0078,0
3116.031,426,60.0,4320,4,2.324219,240.6797,163.37109,500.7539,0
3116.535,426,61.57761,4320,5,2.324219,240.6797,165.05859,499.0664,0
3116.535,426,58.26972,4320,6,2.324219,240.8359,167.69531,496.2734,0
3116.031,426,60.45918,4320,7,2.324219,240.8359,166.30078,497.668,0
3116.031,426,63.58974,4320,6,2.324219,240.8359,165.15234,498.8164,0
3116.031,426,60.0,4320,10,2.332031,240.8359,164.05859,499.9023,0
3116.031,426,59.13706,4320,10,2.332031,240.8359,162.88281,501.0781,0
3116.031,426,58.97436,4320,13,2.332031,240.8359,161.73438,502.2266,0
3116.031,426,64.07035,4320,12,2.332031,240.8359,160.33984,503.6211,0
3116.031,426,62.97229,4320,5,2.332031,240.8359,159.41016,504.5508,0
3116.031,426,63.40852,4320,6,2.332031,240.8359,162.37891,501.582,0
3116.031,426,64.32161,4320,10,2.332031,240.8359,165.77344,498.1875,0
3116.031,427,61.80905,4320,8,2.332031,240.8359,163.21875,500.7422,0
3116.031,426,62.2449,4320,3,2.339844,240.8359,162.28906,501.6641,0
3116.031,426,61.40351,4320,5,2.339844,240.8359,161.82422,502.1289,0
3116.031,426,61.67076,4320,13,2.339844,240.8359,161.38672,502.5664,0
3116.031,426,54.61347,4320,6,2.339844,240.8359,160.29297,503.6602,0
3116.031,426,56.71642,4320,5,2.339844,240.8359,163.37891,500.5742,0
3116.031,426,55.01222,4320,7,2.339844,240.8359,161.30469,502.6484,0
3116.031,426,49.0099,4320,12,2.339844,240.8359,159.75,504.2031,0
3116.031,426,60.41131,4320,7,2.339844,240.8359,159.09375,504.8594,0
3116.031,426,60.72351,4320,11,2.339844,240.8359,157.42969,506.5234,0
3116.031,426,63.80208,4320,14,2.339844,240.8359,165.4375,498.5156,0
3116.031,426,61.12532,4320,10,2.339844,240.8359,164.27734,499.6758,0
